event_name,event_timestamp,user_pseudo_id,from_prev_event,session
onboarding_welcome_screen,1538341610616002,000bf8e1812a0335c7e65d52b3f6e816,,1
onboarding_otherLogin__show,1538341616091017,000bf8e1812a0335c7e65d52b3f6e816,5.475015,1
onboarding_welcome_screen,1538341620614024,000bf8e1812a0335c7e65d52b3f6e816,4.523007,1
onboarding_welcome_screen,1538341626961003,000bf8e1812a0335c7e65d52b3f6e816,6.346979,1
onboarding_welcome_screen,1538341628689012,000bf8e1812a0335c7e65d52b3f6e816,1.728009,1
onboarding_welcome_screen,1538341632262026,000bf8e1812a0335c7e65d52b3f6e816,3.573014,1
onboarding_welcome_screen,1538341635302035,000bf8e1812a0335c7e65d52b3f6e816,3.040009,1
passed,1538341636931046,000bf8e1812a0335c7e65d52b3f6e816,1.629011,1
onboarding_welcome_screen,1538376206890002,00275391998b3f87d798f6e7a1ec5c15,,2
onboarding_otherLogin__show,1538376217456026,00275391998b3f87d798f6e7a1ec5c15,10.566024,2
onboarding_otherLogin__chooseLoginType,1538376222809005,00275391998b3f87d798f6e7a1ec5c15,5.352979,2
onboarding_otherLogin_privacy_policyShown,1538376222844006,00275391998b3f87d798f6e7a1ec5c15,0.035001,2
onboarding_welcome_screen,1538376341771361,00275391998b3f87d798f6e7a1ec5c15,118.927355,2
onboarding_welcome_screen,1538376448990014,00275391998b3f87d798f6e7a1ec5c15,107.218653,2
passed,1538376540234186,00275391998b3f87d798f6e7a1ec5c15,91.24417199999999,2
onboarding_welcome_screen,1538415786427002,004ecbe8a710f3c7b5b3cbc9bc0c74b2,,3
onboarding__chooseLoginType,1538415803995025,004ecbe8a710f3c7b5b3cbc9bc0c74b2,17.568023,3
onboarding_privacy_policyShown,1538415804024026,004ecbe8a710f3c7b5b3cbc9bc0c74b2,0.029001,3
onboarding_login_Type1,1538415804031027,004ecbe8a710f3c7b5b3cbc9bc0c74b2,0.007001,3
onboarding_privacy_policyAccepted,1538415806930036,004ecbe8a710f3c7b5b3cbc9bc0c74b2,2.899009,3
onboarding__loginFailure,1538415836547004,004ecbe8a710f3c7b5b3cbc9bc0c74b2,29.616968,3
onboarding_login_Type1_cancel,1538415836548005,004ecbe8a710f3c7b5b3cbc9bc0c74b2,0.001001,3
onboarding__chooseLoginType,1538415838125014,004ecbe8a710f3c7b5b3cbc9bc0c74b2,1.577009,3
onboarding_login_Type2,1538415838130015,004ecbe8a710f3c7b5b3cbc9bc0c74b2,0.005000999999999999,3
onboarding_otherLogin__show,1538415856806083,004ecbe8a710f3c7b5b3cbc9bc0c74b2,18.676068,3
onboarding_welcome_screen,1538415864413099,004ecbe8a710f3c7b5b3cbc9bc0c74b2,7.607016000000001,3
onboarding_welcome_screen,1538415885606016,004ecbe8a710f3c7b5b3cbc9bc0c74b2,21.192917,3
onboarding_welcome_screen,1538415966487192,004ecbe8a710f3c7b5b3cbc9bc0c74b2,80.881176,3
onboarding_welcome_screen,1538416341429246,004ecbe8a710f3c7b5b3cbc9bc0c74b2,374.942054,3
passed,1538416349714021,004ecbe8a710f3c7b5b3cbc9bc0c74b2,8.284775,3
onboarding_welcome_screen,1538426640865002,00530441b09d5494b09e936a97d5cb99,,4
onboarding_otherLogin__show,1538426678887032,00530441b09d5494b09e936a97d5cb99,38.02203,4
onboarding_welcome_screen,1538426700980006,00530441b09d5494b09e936a97d5cb99,22.092973999999998,4
onboarding_welcome_screen,1538426765619004,00530441b09d5494b09e936a97d5cb99,64.638998,4
onboarding_welcome_screen,1538426771860011,00530441b09d5494b09e936a97d5cb99,6.241007,4
onboarding_welcome_screen,1538426800059032,00530441b09d5494b09e936a97d5cb99,28.199021000000002,4
onboarding_welcome_screen,1538426806121039,00530441b09d5494b09e936a97d5cb99,6.062007,4
onboarding_welcome_screen,1538426806762048,00530441b09d5494b09e936a97d5cb99,0.641009,4
passed,1538426806810049,00530441b09d5494b09e936a97d5cb99,0.048001,4
onboarding_welcome_screen,1538372710555002,005502038cec478faf343fe54310a848,,5
onboarding__chooseLoginType,1538372714967002,005502038cec478faf343fe54310a848,4.412,5
onboarding_privacy_policyShown,1538372715001003,005502038cec478faf343fe54310a848,0.034000999999999997,5
onboarding_login_Type2,1538372715013004,005502038cec478faf343fe54310a848,0.012001000000000001,5
onboarding_privacy_policyAccepted,1538372717695007,005502038cec478faf343fe54310a848,2.682003,5
passed,1538372736590002,005502038cec478faf343fe54310a848,18.894995,5
onboarding_welcome_screen,1538349651490002,008ef6b86f8cf9bc34459afd0b35b74d,,6
onboarding_otherLogin__show,1538349662643023,008ef6b86f8cf9bc34459afd0b35b74d,11.153021,6
onboarding_welcome_screen,1538349668326006,008ef6b86f8cf9bc34459afd0b35b74d,5.682983,6
lost,1538349668326007,008ef6b86f8cf9bc34459afd0b35b74d,1e-06,6
onboarding_welcome_screen,1538345157600002,00a6eadf6abceab38ed06afe20f96738,,7
onboarding__chooseLoginType,1538345173775002,00a6eadf6abceab38ed06afe20f96738,16.175,7
onboarding_privacy_policyShown,1538345173816003,00a6eadf6abceab38ed06afe20f96738,0.041000999999999996,7
onboarding_login_Type1,1538345173825004,00a6eadf6abceab38ed06afe20f96738,0.009001,7
onboarding_privacy_policyAccepted,1538345176058009,00a6eadf6abceab38ed06afe20f96738,2.233005,7
onboarding_welcome_screen,1538345213793009,00a6eadf6abceab38ed06afe20f96738,37.735,7
onboarding_welcome_screen,1538345222117019,00a6eadf6abceab38ed06afe20f96738,8.324010000000001,7
passed,1538345235953028,00a6eadf6abceab38ed06afe20f96738,13.836008999999999,7
onboarding_welcome_screen,1538343013681002,00b78ef5baee6f904786836fc8e0583e,,8
onboarding_otherLogin__show,1538343028371001,00b78ef5baee6f904786836fc8e0583e,14.689998999999998,8
onboarding_otherLogin__close,1538343029838005,00b78ef5baee6f904786836fc8e0583e,1.4670040000000002,8
onboarding__chooseLoginType,1538343039355007,00b78ef5baee6f904786836fc8e0583e,9.517002,8
onboarding_privacy_policyShown,1538343039438008,00b78ef5baee6f904786836fc8e0583e,0.083001,8
onboarding_login_Type2,1538343039461009,00b78ef5baee6f904786836fc8e0583e,0.023001,8
onboarding_privacy_policyDecline,1538343041776013,00b78ef5baee6f904786836fc8e0583e,2.315004,8
lost,1538343041776014,00b78ef5baee6f904786836fc8e0583e,1e-06,8
onboarding_welcome_screen,1538347657111002,00c7a9cce88f97199d80266d70906cd7,,9
onboarding__chooseLoginType,1538347664772005,00c7a9cce88f97199d80266d70906cd7,7.661003,9
